deviceCode_location_wardName,deviceCode_pyld_alarmType,date,,,,
A Narayanapura,UFCW,6.3.18,,,,
A Narayanapura,UFCW,6.3.18,,,,
A Narayanapura,UFCW,6.3.18,,,,
A Narayanapura,UFCW,6.3.18,,,,
A Narayanapura,UFCW,6.3.18,,,,
A Narayanapura,UFCW,6.3.18,,,,
A Narayanapura,UFCW,6.3.18,,,,
A Narayanapura,HMW,6.3.18,,,,
A Narayanapura,FCW,6.3.18,,,,
A Narayanapura,FCW,6.3.18,,,,
A Narayanapura,UFCW,6.3.18,,,,
A Narayanapura,UFCW,6.3.18,,,,
A Narayanapura,UFCW,6.3.18,,,,
A Narayanapura,UFCW,6.3.18,,,,
A Narayanapura,UFCW,6.3.18,,,,
A Narayanapura,PCW,6.3.18,,,,
A Narayanapura,UFCW,6.3.18,,,,
A Narayanapura,UFCW,6.3.18,,,,
A Narayanapura,UFCW,6.3.18,,,,
A Narayanapura,HMW,7.3.18,,,,
A Narayanapura,FCW,7.3.18,,,,
A Narayanapura,FCW,7.3.18,,,,
A Narayanapura,HMW,7.3.18,,,,
A Narayanapura,FCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,Overspeed,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,Overspeed,7.3.18,,,,
A Narayanapura,Overspeed,7.3.18,,,,
A Narayanapura,PCW,7.3.18,,,,
A Narayanapura,PCW,7.3.18,,,,
A Narayanapura,FCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,HMW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,LDWR,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,FCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
