lat,lon
12.9845953,77.74408722
12.98723316,77.74111938
12.98750305,77.74005127
12.98752308,77.73670197
12.98820972,77.73136902
12.98822594,77.73129272
12.99120998,77.72747803
12.99119282,77.72782898
12.99123001,77.72801971
12.99147034,77.72841644
12.99147797,77.72844696
12.99173641,77.72866821
12.99176788,77.72867584
12.99192142,77.7288208
12.99205494,77.72904968
12.99243259,77.72986603
12.99244022,77.73042297
12.99433613,77.73131561
12.99466991,77.73139191
12.9946804,77.73140717
12.99472046,77.73141479
12.99539757,77.73134613
12.99544334,77.73132324
12.99575806,77.73101044
12.99572277,77.72976685
12.99543571,77.72795105
12.99487591,77.72686768
12.99470043,77.72686768
12.99466324,77.72686768
12.99415016,77.72677612
12.99270821,77.72680664
12.99195004,77.7269516
12.99191761,77.72697449
12.99112797,77.7276001
12.99110508,77.72763062
12.99106979,77.7276535
12.99099064,77.72768402
12.99059486,77.72757721
12.98958492,77.72723389
12.98905087,77.72725677
12.98821545,77.73190308
12.98769569,77.73564911
12.98766518,77.73712158
12.98767471,77.73782349
12.98766994,77.73807526
12.98766327,77.73843384
12.98766041,77.7385788
12.98754597,77.74049377
12.98754025,77.74056244
12.98746014,77.74091339
12.98734093,77.74137115
12.98720837,77.74195862
12.98720837,77.74195862
12.98720837,77.74195862
12.98720837,77.74195862
12.9871912,77.74202728
12.98696518,77.74282837
12.98670578,77.74382019
12.98648262,77.74475098
12.98274994,77.74401093
12.97878647,77.74220276
12.97684956,77.74171448
12.97576809,77.74243164
12.97566319,77.74285889
12.97561455,77.74281311
12.97590256,77.7416687
12.97831821,77.74210358
12.97991753,77.74274445
12.98280811,77.74401855
12.98592472,77.74462128
12.98616982,77.74480438
12.98690987,77.74259186
12.98743629,77.74059296
12.98754978,77.73879242
12.98793793,77.73313141
12.98833561,77.73072815
12.99125576,77.7280426
12.99549007,77.72944641
12.99545574,77.72843933
12.99453545,77.72699738
12.99431324,77.72707367
12.99414825,77.72696686
12.99316502,77.727005
12.99271107,77.72693634
12.99192142,77.72702789
12.99106026,77.72767639
12.98960972,77.7272644
12.98935318,77.72724152
12.98763275,77.73597717
12.98762989,77.7360611
12.98764992,77.73667908
12.98762989,77.73901367
12.98757839,77.740242
12.98738003,77.74105835
12.98720455,77.74175262
12.98711109,77.74212646
12.98698521,77.74263
12.98587322,77.74469757
12.982831,77.7440033
12.98753071,77.73994446
12.98752117,77.7374649
12.98752499,77.73731995
12.98785782,77.73370361
12.98806095,77.73233795
12.98824787,77.73117065
12.99090576,77.72730255
12.9910078,77.72773743
12.99103832,77.72781372
12.99106598,77.72794342
12.9911356,77.72808075
12.991148,77.72810364
12.99147034,77.72859192
12.99180317,77.72877502
12.99201298,77.72893524
12.99226284,77.72917938
12.9923811,77.7299881
12.99238968,77.73001862
12.99232769,77.7303772
12.99454594,77.73145294
12.99578094,77.73104858
12.99579811,77.73101807
12.99571514,77.72982788
12.99554062,77.72864532
12.99548054,77.72827911
12.99542999,77.72795868
12.99491787,77.72684479
12.9939146,77.72680664
12.99309063,77.72679138
12.99292564,77.72679138
12.99272347,77.72676849
12.99224281,77.72680664
12.99071026,77.7276001
12.99036598,77.72751617
12.99029827,77.72748566
12.98929787,77.72720337
12.98917961,77.727211
12.98859501,77.72962952
12.98839283,77.73123169
12.98826313,77.7318573
12.98806286,77.73268127
12.98783493,77.73590088
12.98783493,77.73590088
12.98783493,77.73590088
12.98783493,77.73590088
12.98767757,77.73716736
12.98768044,77.73731232
12.98767757,77.73738098
12.98768616,77.73793793
12.98769569,77.73878479
12.98769093,77.73931885
12.98750591,77.74067688
12.98705292,77.74250031
12.9851408,77.74430847
12.98227596,77.74385834
12.98045254,77.7429657
12.97877502,77.74217987
12.97597313,77.74142456
12.97747993,77.74191284
12.97794628,77.74201202
12.97815609,77.74207306
12.97863483,77.74215698
12.97941589,77.74247742
12.98439503,77.74407196
12.98612022,77.74472046
12.98592281,77.74914551
12.98689556,77.74260712
12.98722267,77.74134827
12.98728085,77.74111938
12.98729801,77.74105072
12.98730564,77.7410202
12.98747253,77.74039459
12.99260044,77.7546463
12.98754501,77.73823547
12.98754597,77.73793793
12.98754978,77.73761749
12.98754978,77.73758698
12.98755455,77.73744965
12.98755455,77.73742676
12.99603558,77.75826263
12.99692631,77.75842285
12.9877882,77.73426819
12.98781776,77.73405457
12.98807144,77.73220062
13.00114632,77.75759125
12.9882412,77.73135376
12.98842812,77.73014069
12.98844337,77.73004913
13.00347805,77.75709534
12.98852539,77.72958374
13.00347805,77.75709534
12.98852539,77.72958374
12.98853302,77.72955322
13.0045681,77.7569046
13.00574589,77.75695038
13.00580788,77.75695801
13.00600147,77.75701141
12.98906517,77.72693634
13.00649548,77.75721741
13.01066971,77.75956726
13.01249599,77.76058197
12.99382782,77.73124695
12.99461269,77.73131561
12.99569035,77.73095703
13.01359081,77.76123047
12.99550056,77.72976685
12.99542332,77.72836304
12.99541283,77.72832489
12.99535084,77.72801971
12.99485588,77.72690582
12.99406528,77.72692108
