,0
0,48.043392
1,22.319999999999997
2,9.239999999999998
3,22.210559999999997
4,157.2090624
5,13.032
6,9.0
7,9.0
8,8.8579584
9,19.2
10,42.284928
11,208.79999999999998
12,208.79999999999998
13,257.7760128
14,14.836607999999998
15,95.77832472576002
16,2.4
17,233.93561088
18,62.012928
19,21.599999999999998
20,21.599999999999998
21,3.3599999999999994
22,2.89632
23,9.79008
24,135.05800022016
25,11.4
26,4.8
27,1.7999999999999998
28,1.7519999999999998
29,1.464
30,14.399999999999999
31,80.76
32,132.6419063808
33,1.7999999999999998
34,29.757312
35,6.6
36,83.957376
37,12.544128
38,116.9582395392
39,1216.612416
40,9.0
41,9.0
42,9.0
43,1.7999999999999998
44,4.46688
45,76.2
46,51.45685248
47,11.4
48,35.40030719999999
49,6.84
50,0.6
