,0,1
0,13.00030994,77.67966461
1,13.00027275,77.67722321
2,12.99975967,77.67581177
3,12.99897003,77.67408752
4,12.99149513,77.65774536
5,12.99132633,77.65743256
6,12.99013138,77.65505219
7,12.98877144,77.65216827
8,12.98769093,77.64994812
9,12.98723602,77.64891815
10,12.99149513,77.65774536
11,12.99132633,77.65743256
12,12.99013138,77.65505219
13,12.98877144,77.65216827
14,12.98769093,77.64994812
15,12.98723602,77.64891815
16,12.99149513,77.65774536
17,12.99132633,77.65743256
18,12.99013138,77.65505219
19,12.98877144,77.65216827
20,12.98769093,77.64994812
21,12.98723602,77.64891815
22,12.99149513,77.65774536
23,12.99132633,77.65743256
24,12.99013138,77.65505219
25,12.98877144,77.65216827
26,12.98769093,77.64994812
27,12.98723602,77.64891815
28,12.99149513,77.65774536
29,12.99132633,77.65743256
30,12.99013138,77.65505219
31,12.98877144,77.65216827
32,12.98769093,77.64994812
33,12.98723602,77.64891815
34,12.99149513,77.65774536
35,12.99132633,77.65743256
36,12.99013138,77.65505219
37,12.98877144,77.65216827
38,12.98769093,77.64994812
39,12.98723602,77.64891815
40,12.99149513,77.65774536
41,12.99132633,77.65743256
42,12.99013138,77.65505219
43,12.98877144,77.65216827
44,12.98769093,77.64994812
45,12.98723602,77.64891815
46,12.99149513,77.65774536
47,12.99132633,77.65743256
48,12.99013138,77.65505219
49,12.98877144,77.65216827
50,12.98769093,77.64994812
51,12.98723602,77.64891815
52,12.99149513,77.65774536
53,12.99132633,77.65743256
54,12.99013138,77.65505219
55,12.98877144,77.65216827
56,12.98769093,77.64994812
57,12.98723602,77.64891815
58,12.97836494,77.73388672
59,12.98103333,77.73360443
60,12.98433781,77.73360443
61,12.99215794,77.71911621
62,12.99214554,77.71894073
63,12.99213982,77.71885681
64,12.9921608,77.71805573
65,12.99135971,77.71518707
66,12.98929787,77.71240234
67,12.98726082,77.70910645
68,12.98564529,77.70831299
69,12.98915482,77.70089722
70,12.97836494,77.73388672
71,12.98103333,77.73360443
72,12.98433781,77.73360443
73,12.99215794,77.71911621
74,12.99214554,77.71894073
75,12.99213982,77.71885681
76,12.9921608,77.71805573
77,12.99135971,77.71518707
78,12.98929787,77.71240234
79,12.98726082,77.70910645
80,12.98564529,77.70831299
81,12.98915482,77.70089722
82,12.97836494,77.73388672
83,12.98103333,77.73360443
84,12.98433781,77.73360443
85,12.99215794,77.71911621
86,12.99214554,77.71894073
87,12.99213982,77.71885681
88,12.9921608,77.71805573
89,12.99135971,77.71518707
90,12.98929787,77.71240234
91,12.98726082,77.70910645
92,12.98564529,77.70831299
93,12.98915482,77.70089722
94,12.97836494,77.73388672
95,12.98103333,77.73360443
96,12.98433781,77.73360443
97,12.99215794,77.71911621
98,12.99214554,77.71894073
99,12.99213982,77.71885681
100,12.9921608,77.71805573
101,12.99135971,77.71518707
102,12.98929787,77.71240234
103,12.98726082,77.70910645
104,12.98564529,77.70831299
105,12.98915482,77.70089722
106,12.97836494,77.73388672
107,12.98103333,77.73360443
108,12.98433781,77.73360443
109,12.99215794,77.71911621
110,12.99214554,77.71894073
111,12.99213982,77.71885681
112,12.9921608,77.71805573
113,12.99135971,77.71518707
114,12.98929787,77.71240234
115,12.98726082,77.70910645
116,12.98564529,77.70831299
117,12.98915482,77.70089722
118,12.97836494,77.73388672
119,12.98103333,77.73360443
120,12.98433781,77.73360443
121,12.99215794,77.71911621
122,12.99214554,77.71894073
123,12.99213982,77.71885681
124,12.9921608,77.71805573
125,12.99135971,77.71518707
126,12.98929787,77.71240234
127,12.98726082,77.70910645
128,12.98564529,77.70831299
129,12.98915482,77.70089722
130,12.97836494,77.73388672
131,12.98103333,77.73360443
132,12.98433781,77.73360443
133,12.99215794,77.71911621
134,12.99214554,77.71894073
135,12.99213982,77.71885681
136,12.9921608,77.71805573
137,12.99135971,77.71518707
138,12.98929787,77.71240234
139,12.98726082,77.70910645
140,12.98564529,77.70831299
141,12.98915482,77.70089722
142,12.97836494,77.73388672
143,12.98103333,77.73360443
144,12.98433781,77.73360443
145,12.99215794,77.71911621
146,12.99214554,77.71894073
147,12.99213982,77.71885681
148,12.9921608,77.71805573
149,12.99135971,77.71518707
150,12.98929787,77.71240234
151,12.98726082,77.70910645
152,12.98564529,77.70831299
153,12.98915482,77.70089722
154,12.95797253,77.74591827
155,12.95815468,77.74600983
156,12.95830059,77.74608612
157,12.96109104,77.74751282
158,12.96264458,77.74797058
159,12.96919346,77.74983215
160,12.97056484,77.75003052
161,12.97119999,77.75011444
162,12.9729414,77.74919891
163,12.97309494,77.74864197
164,12.95797253,77.74591827
165,12.95815468,77.74600983
166,12.95830059,77.74608612
167,12.96109104,77.74751282
168,12.96264458,77.74797058
169,12.96919346,77.74983215
170,12.97056484,77.75003052
171,12.97119999,77.75011444
172,12.9729414,77.74919891
173,12.97309494,77.74864197
174,12.95797253,77.74591827
175,12.95815468,77.74600983
176,12.95830059,77.74608612
177,12.96109104,77.74751282
178,12.96264458,77.74797058
179,12.96919346,77.74983215
180,12.97056484,77.75003052
181,12.97119999,77.75011444
182,12.9729414,77.74919891
183,12.97309494,77.74864197
184,12.97546291,77.74386597
185,12.97115612,77.75016022
186,12.97097111,77.75047302
187,12.97093487,77.75065613
188,12.9709177,77.7507782
189,12.97069263,77.75216675
190,12.9706831,77.7522583
191,12.97161007,77.75311279
192,12.97176456,77.75331116
193,12.97200489,77.75335693
194,12.9726696,77.75350952
195,12.97290611,77.75379944
196,12.9728632,77.75403595
197,12.97280121,77.75431061
198,12.97243595,77.75576782
199,12.97249031,77.75553894
200,12.97258091,77.75511932
201,12.97259521,77.75507355
202,12.97266006,77.75480652
203,12.97260475,77.75460052
204,12.97243786,77.75455475
205,12.96939087,77.75376892
206,12.96953011,77.75325775
207,12.96975327,77.75143433
208,12.96740532,77.74949646
209,12.96644497,77.74923706
210,12.96623516,77.74915314
211,12.96588993,77.74905396
212,12.96571636,77.74900055
213,12.96525288,77.74887085
214,12.96399784,77.74845886
215,12.95681286,77.743927
216,12.95694542,77.74147034
217,12.95694637,77.74015808
218,12.9567976,77.7441864
219,12.95729065,77.74560547
220,12.95808983,77.74597931
221,12.95912838,77.74652863
222,12.96083069,77.74743652
223,12.96168804,77.74764252
224,12.96216488,77.74777985
225,12.96446991,77.74854279
226,12.9648447,77.74865723
227,12.96502781,77.74871826
228,12.9664259,77.74916077
229,12.96769142,77.74951935
230,12.96830273,77.74964905
231,12.96904755,77.74980164
232,12.97338581,77.74723053
233,12.97629642,77.740242
234,12.97566128,77.74503326
235,12.97562981,77.74528503
236,12.97313023,77.74756622
237,12.97312069,77.74842072
238,12.97299767,77.74909973
239,12.97161102,77.75021362
240,12.97103119,77.75013733
241,12.97089291,77.75012207
242,12.96864128,77.74977112
243,12.96784306,77.74960327
244,12.9666214,77.74926758
245,12.96457577,77.74861908
246,12.96448612,77.74858856
247,12.96413326,77.74847412
248,12.95670033,77.74440765
249,12.95689964,77.74356842
250,12.95692825,77.74304962
251,12.95693779,77.74201965
252,12.95696259,77.74028778
253,12.95696259,77.74013519
254,12.95696831,77.73942566
255,12.95697498,77.73914337
256,12.9570179,77.73717499
257,12.95704079,77.73666382
258,12.95704269,77.7382431
