,0
0,4.56
1,3.5999999999999996
2,3.5999999999999996
3,3.5999999999999996
4,3.5999999999999996
5,3.5999999999999996
6,3.5999999999999996
7,3.5999999999999996
8,8.639999999999999
9,7.199999999999999
10,7.199999999999999
11,7.199999999999999
12,7.199999999999999
13,7.199999999999999
14,7.199999999999999
15,8.879999999999999
16,6.0
17,23.28
18,3.5999999999999996
19,6.84
20,5.3999999999999995
21,5.3999999999999995
22,3.3599999999999994
23,1.2
24,4.08
25,3.5999999999999996
26,3.5999999999999996
27,3.5999999999999996
28,3.5999999999999996
29,3.5999999999999996
30,3.5999999999999996
31,3.5999999999999996
32,1.6559999999999997
33,0.6
34,0.6
35,0.6
36,0.6
37,0.6
38,5.04
39,4.8
40,4.8
41,18.119999999999997
42,16.2
43,16.2
44,16.2
45,16.2
46,6.412800000000001
47,1.2
48,1.2
49,0.0
50,0.0
